,bitcoin_cash_MAvg_Close,bitcoin_MAvg_Close,bitconnect_MAvg_Close,dash_MAvg_Close,ethereum_MAvg_Close,ethereum_classic_MAvg_Close,iota_MAvg_Close,litecoin_MAvg_Close,monero_MAvg_Close,nem_MAvg_Close,neo_MAvg_Close,numeraire_MAvg_Close,omisego_MAvg_Close,qtum_MAvg_Close,ripple_MAvg_Close,stratis_MAvg_Close,waves_MAvg_Close
110,761.4,7073.8,270.9,324.0,309.7,14.3,0.5,62.0,113.2,0.2,30.2,11.3,7.6,11.7,0.2,3.5,4.6
111,1000.7,6706.4,256.2,333.9,311.6,16.1,0.6,61.9,115.3,0.2,29.5,11.2,7.4,11.6,0.2,3.4,4.4
112,1245.6,6308.6,237.7,403.9,307.3,16.4,0.6,60.2,116.4,0.2,27.9,10.3,7.0,11.4,0.2,3.1,4.0
113,1361.1,6289.1,237.2,436.5,313.1,16.9,0.6,60.9,122.3,0.2,28.0,10.4,7.2,11.4,0.2,3.1,4.1
114,1338.8,6381.8,241.8,463.7,320.8,16.4,0.6,61.0,123.2,0.2,28.4,10.6,7.3,11.4,0.2,3.2,4.4
115,1280.0,6836.9,260.1,426.4,329.2,17.2,0.7,62.6,122.4,0.2,29.2,11.5,7.7,11.6,0.2,3.5,4.8
116,1128.9,7274.3,277.2,423.4,334.0,17.4,0.7,65.9,121.3,0.2,29.3,11.6,7.6,12.1,0.2,3.6,4.9
117,1099.6,7632.1,291.1,422.5,332.2,17.2,0.8,67.5,122.8,0.2,32.8,11.4,7.5,12.7,0.2,3.5,4.9
118,1113.6,7790.3,298.3,432.6,337.0,17.3,0.8,69.4,125.9,0.2,37.3,11.0,7.6,13.4,0.2,3.4,4.9
119,1204.0,7845.2,294.9,440.7,344.8,17.6,0.8,69.6,129.0,0.2,41.0,11.1,7.8,13.8,0.2,3.4,5.1
120,1220.9,8009.1,294.7,461.2,356.2,18.0,0.9,71.2,132.0,0.2,39.4,11.3,7.9,14.3,0.2,3.5,5.2
121,1195.0,8102.8,294.4,474.4,360.5,18.0,0.9,71.3,135.7,0.2,36.6,11.6,7.8,14.3,0.2,3.5,5.2
122,1238.8,8175.2,296.6,519.9,369.3,18.1,0.9,71.4,147.8,0.2,35.3,11.9,7.9,14.4,0.2,3.6,5.2
123,1388.0,8121.2,294.4,546.6,383.7,18.0,0.9,71.7,155.4,0.2,35.0,12.4,7.8,14.1,0.2,3.7,5.2
124,1545.2,8182.0,295.4,570.7,421.9,19.2,0.8,74.4,161.5,0.2,35.2,12.9,7.8,14.2,0.2,4.0,5.2
125,1634.5,8361.1,297.2,592.3,450.5,20.5,0.8,80.0,162.4,0.2,35.9,13.7,8.0,14.3,0.2,4.3,5.3
126,1651.8,8791.7,300.6,610.6,470.8,21.8,0.8,84.2,163.9,0.2,37.1,14.7,8.3,14.6,0.2,4.5,5.4
127,1643.2,9313.3,301.7,632.5,472.7,23.2,0.9,88.8,168.4,0.2,38.9,15.5,8.9,14.7,0.3,4.9,5.6
128,1634.8,9735.9,295.4,626.8,474.9,27.3,1.1,91.2,180.0,0.2,38.9,15.6,9.1,15.0,0.3,5.5,5.8
129,1509.5,9921.9,285.3,645.4,460.3,28.4,1.3,91.1,181.6,0.2,36.8,16.5,8.9,14.2,0.3,5.6,5.6
130,1431.9,10060.3,280.3,696.9,449.2,29.2,1.4,90.0,183.8,0.2,34.4,20.9,8.5,13.6,0.3,5.6,5.3
131,1404.1,10365.9,292.5,753.9,447.1,28.3,1.3,91.0,179.7,0.2,33.7,26.2,8.3,12.9,0.2,5.3,5.3
132,1429.1,10761.3,309.1,787.6,459.0,30.1,1.4,95.9,191.4,0.2,34.6,29.3,8.8,13.0,0.3,5.6,5.6
133,1485.9,11124.5,318.0,781.6,465.3,30.8,1.6,100.2,198.0,0.3,35.8,28.6,9.2,13.1,0.3,5.9,6.0
134,1523.9,11351.7,320.6,773.8,466.5,30.6,2.0,101.9,204.4,0.3,38.0,27.5,9.7,13.3,0.3,6.5,6.3
135,1546.2,11632.4,324.8,766.4,466.4,30.4,2.8,102.6,226.6,0.3,39.2,26.8,10.0,13.3,0.3,7.0,6.8
136,1503.0,12621.8,343.9,743.5,454.0,29.5,3.7,102.3,252.8,0.3,38.7,25.0,9.7,12.9,0.2,7.5,7.5
137,1421.0,14702.6,382.7,718.1,442.1,28.4,4.1,100.3,276.3,0.3,36.3,22.6,8.9,12.5,0.2,8.0,8.1
138,1408.4,16253.5,408.7,708.2,439.7,28.2,4.5,107.8,278.8,0.4,35.4,21.0,8.3,12.4,0.2,8.5,8.5
139,1401.7,16549.1,410.1,716.1,454.6,28.7,4.6,126.1,273.4,0.4,35.6,21.9,8.3,12.5,0.2,9.0,8.5
140,1399.1,15734.3,385.7,713.0,457.1,28.5,4.6,142.9,261.5,0.5,35.1,22.3,8.3,12.0,0.2,9.1,9.0
141,1385.5,15856.8,375.7,725.9,476.8,27.7,4.4,172.7,262.5,0.4,35.0,23.1,8.5,12.2,0.2,9.7,9.9
142,1453.8,16602.5,380.5,795.4,536.1,28.2,4.4,226.3,277.7,0.5,36.5,23.1,9.1,13.1,0.3,10.0,11.9
143,1548.7,16920.1,377.9,861.4,623.1,29.2,4.4,277.7,297.8,0.5,40.4,23.3,10.0,15.2,0.4,10.1,13.2
144,1729.6,16795.9,375.8,920.0,683.3,30.7,4.2,299.4,313.0,0.6,45.3,23.2,10.8,17.5,0.6,9.8,14.1
145,1796.4,16893.0,378.6,909.5,694.3,31.3,3.9,293.9,314.4,0.6,47.8,23.0,11.3,22.8,0.7,9.7,13.5
146,1861.1,17922.8,409.0,947.7,692.2,32.9,3.8,292.7,321.6,0.6,49.5,23.3,12.5,26.7,0.8,10.2,13.4
147,1826.7,18781.7,427.1,1002.6,700.2,33.9,3.8,305.8,330.3,0.6,55.3,24.4,13.9,29.7,0.7,10.7,13.3
148,1953.8,19250.8,438.4,1091.5,736.9,36.3,3.9,325.3,353.4,0.7,65.0,26.3,16.1,36.8,0.8,11.6,14.2
149,2288.5,18677.2,415.1,1153.2,780.5,38.2,4.5,342.4,370.0,0.8,72.0,27.5,17.4,49.7,0.8,12.0,15.0
150,2975.2,17838.5,393.4,1301.5,813.5,41.2,4.9,341.1,409.3,0.9,74.6,27.9,18.1,61.1,0.8,11.9,15.6
151,3332.0,16734.7,363.6,1390.8,822.3,42.1,5.2,327.4,421.5,1.0,72.6,28.2,17.7,64.5,0.9,12.0,15.7
152,3295.6,15419.8,331.0,1388.2,771.7,39.0,4.5,299.0,411.1,0.9,67.5,26.7,15.9,58.4,1.0,11.3,14.6
153,3073.6,14778.0,306.3,1296.4,738.4,35.3,4.0,290.2,382.0,0.9,61.9,26.3,14.8,56.3,1.2,12.0,14.3
154,2952.3,14152.3,273.3,1213.1,696.1,31.5,3.5,276.4,355.1,0.9,58.1,25.5,13.9,53.5,1.1,12.5,13.5
155,3038.3,14217.2,250.0,1212.0,726.5,32.0,3.5,279.2,360.0,1.0,61.6,29.3,14.8,56.3,1.1,14.3,14.1
156,2988.9,14684.1,286.5,1194.5,744.6,32.0,3.6,278.6,359.8,1.0,63.8,31.3,15.1,55.9,1.1,14.8,14.1
157,2984.4,15321.6,346.5,1196.2,767.5,32.5,3.7,277.4,388.1,1.0,66.2,33.7,15.3,56.1,1.2,14.7,14.0
158,2855.0,15514.9,409.7,1191.1,757.9,31.5,3.7,269.5,394.1,0.9,65.9,33.6,15.1,55.4,1.3,14.3,13.5
159,2745.4,15033.7,431.5,1166.1,751.2,30.6,3.7,255.9,392.7,1.0,68.7,34.0,15.4,56.4,1.7,14.4,13.3
160,2579.7,14071.6,419.1,1106.7,736.0,28.8,3.6,238.1,362.4,1.0,70.6,32.0,15.9,58.5,1.9,14.1,12.7
161,2568.5,13921.6,422.3,1070.4,742.5,28.3,3.5,232.2,352.4,1.0,74.1,31.6,17.5,60.5,2.2,14.1,12.7
162,2452.7,13588.6,396.3,1039.0,748.9,29.7,3.6,226.7,346.3,1.0,75.7,33.9,18.6,61.3,2.3,14.2,12.3
163,2558.8,14265.2,411.0,1107.8,804.6,32.4,3.8,238.9,363.8,1.1,81.7,36.8,19.8,61.3,2.4,15.3,12.8
164,2584.1,14613.4,420.5,1147.5,873.3,34.6,4.0,243.4,384.8,1.3,91.6,38.5,20.1,60.2,2.7,16.2,13.0
165,2583.3,15260.8,434.9,1206.1,942.7,35.4,4.1,247.5,399.5,1.5,98.3,37.7,20.3,59.1,2.9,16.4,13.0
166,2541.1,16076.6,426.3,1184.3,980.5,35.8,4.0,245.3,400.0,1.7,100.0,35.7,19.7,59.8,3.1,16.1,12.5
167,2600.4,16851.9,426.9,1215.7,1006.8,37.0,3.9,262.4,413.6,1.6,98.4,33.8,19.3,71.6,3.1,15.8,12.5
168,2719.3,17144.7,409.7,1234.3,1064.2,38.5,3.9,278.1,432.3,1.7,99.5,35.3,20.8,81.0,3.2,16.1,12.6
169,2665.0,16391.6,396.1,1212.7,1114.5,37.8,4.0,280.2,439.1,1.7,101.9,41.0,22.5,78.8,3.0,18.3,13.1
170,2533.3,15414.4,364.0,1161.7,1200.5,37.8,3.8,263.7,425.9,1.7,110.6,45.2,24.5,65.0,2.6,19.4,13.2
171,2569.5,14912.9,347.4,1102.0,1234.7,36.5,3.7,251.1,408.7,1.5,117.4,47.6,24.2,54.4,2.2,20.2,13.1
172,2583.2,14324.8,327.6,1075.4,1236.8,36.0,3.6,242.3,392.2,1.4,119.4,45.3,23.4,51.0,2.0,18.3,12.1
173,2659.7,14119.9,317.5,1056.4,1228.0,35.4,3.6,238.9,386.0,1.4,118.6,44.9,22.6,50.1,2.0,18.0,11.6
174,2589.6,13915.5,314.4,1054.3,1274.8,37.2,3.7,241.8,390.1,1.4,124.5,46.0,23.4,50.3,2.0,18.2,11.3
175,2619.9,14037.6,311.5,1056.4,1345.5,40.6,3.8,244.9,404.8,1.4,145.2,47.4,24.1,53.1,2.0,19.5,11.4
176,2546.7,13984.0,289.1,1017.8,1351.7,41.9,3.7,243.5,411.4,1.4,166.1,45.8,24.0,53.8,1.9,20.2,11.2
